"org.argouml.uml.diagram.ui.TabDiagram.java.TabDiagram.select(Object[])","HIGH"
"org.argouml.uml.generator.ui.ClassGenerationDialog.actionPerformed(ActionEvent)","HIGH"
"org.argouml.uml.generator.AbstractSection.write(String, String, boolean)","LOW"
"org.argouml.uml.generator.TempFileUtils.readAllFiles(File)","LOW"
"org.argouml.uml.ui.ActionDeleteModelElements.actionPerformed(ActionEvent)","LOW"
"org.argouml.uml.ui.SourcePathTableModel.SourcePathTableModel(SourcePathController)","LOW"
"org.argouml.uml.ui.TabConstraints.ConstraintModel.CR.setData(String, EditingUtilities)","MEDIUM"
"org.argouml.uml.ui.TabTaggedValuesModel.getValueAt(int, int)","VERYLOW"
"org.argouml.uml.ui.TabTaggedValuesModel.setValueAt(Object, int, int)","HIGH"
"org.argouml.uml.ui.UMLListCellRenderer2.makeText(Object)","MEDIUM"
"org.argouml.uml.util.ModelUtil.generatePackageDependencies(Project)","MEDIUM"
"org.argouml.uml.DocumentationManager.getDocs(Object, String, String, String, String)","VERYLOW"
